UserId,Group,Task,Presentation,NuggetID,UserSummaryNugget
1,2,low,short,1-2-low-01,シナモンは料理に利用される香辛料である
1,2,low,short,1-2-low-02,シナモンはお菓子などに利用される香辛料である
1,2,low,short,1-2-low-03,原産地はスリランカである
1,2,low,short,1-2-low-04,原産地は南インドである
1,2,low,short,1-2-low-05,現在ではインドネシアで多く生産されている
1,2,low,short,1-2-low-06,現在ではスリランカで多く生産されている
1,2,low,short,1-2-low-07,最もシナモンの消費量が多い国はアメリカである
1,2,low,short,1-2-low-08,アメリカはシナモンロールで有名である
2,2,low,short,2-2-low-01,シナモンの原産地はスリランカである
2,2,low,short,2-2-low-02,シナモンの原産地はインド南部である
4,2,low,short,4-2-low-01,シナモンの最大の原産地はスリランカである
4,2,low,short,4-2-low-02,シナモンの原産地には南インドがある
4,2,low,short,4-2-low-03,シナモンの原産地には中国南部がある
4,2,low,short,4-2-low-04,シナモンの原産地にはインドネシアがある
4,2,low,short,4-2-low-05,シナモンには大きく2種類ある
4,2,low,short,4-2-low-06,セイロンシナモンは安全性が高い
4,2,low,short,4-2-low-07,セイロンシナモンはインドネシアで生産されている
4,2,low,short,4-2-low-08,セイロンシナモンは南インドで生産されている
4,2,low,short,4-2-low-09,カシアシナモンは摂取しすぎると危険である
4,2,low,short,4-2-low-10,カシアシナモンは中国で生産されている
4,2,low,short,4-2-low-11,カシアシナモンはインドネシアで生産されている
8,2,low,short,8-2-low-01,シナモンの原産地はスリランカである
8,2,low,short,8-2-low-02,シナモンの原産地はインドである
15,2,low,short,15-2-low-01,日本がシナモンを輸入している国はインドネシアである
15,2,low,short,15-2-low-02,日本がシナモンを輸入している国はスリランカである
15,2,low,short,15-2-low-03,スリランカのシナモンはインドネシアのシナモンより品質が良い
15,2,low,short,15-2-low-04,スリランカのシナモンはインドネシアのシナモンより香りが強い
15,2,low,short,15-2-low-05,スリランカのシナモンはインドネシアのシナモンより辛みがある
15,2,low,short,15-2-low-06,最近では中国のシナモン輸出が増えている
15,2,low,short,15-2-low-07,最近ではベトナムのシナモン輸出が増えている
21,2,low,short,21-2-low-01,シナモンにはセイロンシナモンとカシアシナモンの2種類が流通している
21,2,low,short,21-2-low-02,セイロンシナモンの原産地はスリランカである
21,2,low,short,21-2-low-03,セイロンシナモンの原産地はインドである
21,2,low,short,21-2-low-04,カシアシナモンの原産地は中国である
21,2,low,short,21-2-low-05,カシアシナモンの原産地はインドネシアである
21,2,low,short,21-2-low-06,カシアシナモンの原産地はベトナムである
21,2,low,short,21-2-low-07,ビスケットなどお菓子のスパイスとして使われている大半のシナモンはカシアシナモンである
21,2,low,short,21-2-low-08,カシアシナモンは安価である
21,2,low,short,21-2-low-09,カシアシナモンは強い風味が特徴である
21,2,low,short,21-2-low-10,シナモンの育成には熱帯の環境が必要である
21,2,low,short,21-2-low-11,シナモンの育成には亜熱帯の環境が必要である
21,2,low,short,21-2-low-12,日本国内ではシナモンの商業的な大規模栽培は行われていない
24,2,low,short,24-2-low-01,シナモンはシナモンカシアなどの樹皮から得られるスパイスである
24,2,low,short,24-2-low-02,シナモンに用いられている
24,2,low,short,24-2-low-03,シナモンはお菓子に用いられている
24,2,low,short,24-2-low-04,シナモンはアップルパイに用いられている
24,2,low,short,24-2-low-05,シナモンはシチューに用いられている
24,2,low,short,24-2-low-06,シナモンは料理に用いられている
24,2,low,short,24-2-low-07,世界のシナモン生産量の70〜80%をスリランカが占めている
24,2,low,short,24-2-low-08,シナモンはインド南部などでも作られている
24,2,low,short,24-2-low-09,シナモンはアメリカで多く輸入されている
24,2,low,short,24-2-low-10,シナモンはドイツで多く輸入されている
24,2,low,short,24-2-low-11,シナモンはインドで多く輸入されている
24,2,low,short,24-2-low-12,シナモンは紀元前2000年頃からエジプトにも伝わっている
24,2,low,short,24-2-low-13,シナモンは紀元前2000年頃から地中海にも伝わっている
30,2,low,short,30-2-low-01,シナモンの原産地はスリランカである
30,2,low,short,30-2-low-02,シナモンの原産地はインド南部である
30,2,low,short,30-2-low-03,シナモンの原産地はミャンマーである
30,2,low,short,30-2-low-04,シナモンの原産地はインドネシアである
30,2,low,short,30-2-low-05,スリランカはシナモンの原産地として有名である
30,2,low,short,30-2-low-06,インドネシアはシナモンの原産地として有名である
30,2,low,short,30-2-low-07,ヨーロッパにシナモンの原産地は存在しない
30,2,low,short,30-2-low-08,ヨーロッパではシナモンは輸入品として扱われている
44,2,low,short,44-2-low-01,シナモンの原産地としてスリランカが主要である
44,2,low,short,44-2-low-02,シナモンはヨーロッパのビスケットによく使われている
50,2,low,short,50-2-low-01,シナモンの原産地はスリランカである
50,2,low,short,50-2-low-02,シナモンの原産地はインドの南部である
65,2,low,short,65-2-low-01,世界のシナモンの主な原産地はスリランカである
65,2,low,short,65-2-low-02,世界のシナモンの主な原産地はインドネシアである
65,2,low,short,65-2-low-03,世界のシナモンの主な原産地は中国である
65,2,low,short,65-2-low-04,世界のシナモンの主な原産地は南インドである
65,2,low,short,65-2-low-05,世界のシナモンの主な原産地はベトナムである
65,2,low,short,65-2-low-06,シナモンの種類にはスリランカ産のセイロンシナモンがある
65,2,low,short,65-2-low-07,シナモンの種類には中国のカシアシナモンがある
